Word,dim1,dim2
gold,0.27607235,3.0958276
mines,1.7256832,4.812866
creek,0.20091121,8.479065
work,0.10333365,2.7040899
copper,0.33105814,3.9941728
exploration,1.4094833,3.8772137
area,1.1502076,3.8941617
mining,2.13844,4.9468493
property,0.2521258,3.7502282
coal,1.6408446,2.1425571
quartz,0.0008596182,0.5293837
north,1.3839499,6.401957
lake,0.44302404,7.1583233
report,0.23765406,3.5011075
west,1.2718977,5.672325
drilling,0.7246985,2.9536452
silver,0.6857979,3.7608838
zone,0.04763964,1.4308014
assessment,0.07112685,4.1939425
lat,8.522228,15.513405
description,0.29799,3.8058362
survey,0.0,3.7083602
south,1.5600098,6.5993366
mineral,0.9224968,2.1383138
location,1.2127631,7.4566894
east,0.66584444,5.690305
rock,0.3098113,0.25585014
mineralization,0.0,1.4390395
river,1.532535,6.5306783
group,0.079190105,1.6316402
columbia,1.7657729,3.4504068
geological,0.10768527,2.5356288
soil,0.0,2.1059237
figure,1.2397718,2.573276
volcanic,0.16659006,0.4063144
approximately,1.8173708,6.048948
porphyry,0.0,0.9959888
limited,2.6534266,7.20676
vancouver,3.3160455,8.818446
operator,2.0966718,5.940369
vein,0.09640443,1.6981478
surface,0.9067281,1.6381752
deposit,0.25428835,1.0335886
pyrite,0.18917453,0.43619382
zinc,0.35996154,2.506676
project,0.56533146,1.998604
formation,0.46804774,0.049304754
near,0.68065345,3.4420269
mountain,1.4775668,7.8186793
production,1.7846932,2.7735004
year,1.2912757,2.350217
company,2.2536702,4.8274574
lead,0.6791316,1.961343
geochemical,0.0,2.6422594
program,0.30236572,2.9150763
road,2.3484564,6.4851646
northwest,0.0,5.94526
pit,2.3275275,3.0553634
molybdenum,1.0857885,2.1657963
ore,1.6031786,1.9009387
covering,8.682845,12.40699
ministry,1.0517286,2.7119613
chalcopyrite,0.18442604,0.65810406
drill,0.07703683,2.237378
canada,2.303694,5.9855313
line,0.7090081,3.5984452
million,1.6763409,2.0164015
long,0.96547234,3.6600933
underlain,0.37858036,2.5487456
metal,1.2171192,2.8755174
occur,0.11072722,0.44601327
street,3.21534,8.817039
development,1.600228,2.364831
div,1.2535377,6.138782
high,0.98530257,1.5900295
class,0.47752625,4.2364454
northeast,0.2433098,5.3620114
new,1.6340013,3.7189233
diamond,0.48488432,3.5611265
energy,1.2006558,2.555831
limestone,0.8953563,0.0
corp,1.675568,4.349925
author,0.48872584,2.9652133
unit,0.99029946,0.10505283
lower,1.0240693,1.3249989
lot,10.636952,11.893291
page,6.935111,5.979937
underground,1.8830911,2.5288193
pet,1.6678635,3.335351
massive,0.09052625,0.0
grade,1.0952485,1.9280226
data,1.5715184,1.6476007
owner,2.5216765,7.6668878
sedimentary,0.1385966,0.5926142
fault,0.0,1.136842
minor,0.99662244,0.30254441
open,1.6577775,2.6960263
