Word,PC1,PC2
gold,-4.933172,1.1201756
mines,-4.4127717,3.1584885
creek,-4.7677946,1.7186388
work,-4.985589,1.005441
copper,-4.697652,1.0203376
exploration,-4.677043,2.2811108
area,-5.035837,0.420401
mining,-4.384781,2.8394566
property,-4.6732273,1.4686753
coal,-4.1498003,1.2584405
quartz,-4.601847,-2.177432
north,-4.8116107,1.2986233
lake,-4.304493,1.7623289
report,-3.6152515,2.1686733
west,-4.371727,1.451036
drilling,-4.5499763,1.2694023
silver,-4.3190575,1.2822168
zone,-4.891697,-0.60888284
assessment,-3.624198,2.313967
lat,-2.9786105,2.666007
description,-4.0674763,0.398667
survey,-4.0420885,1.2513131
south,-4.2728024,1.4871362
mineral,-4.512383,0.811591
location,-3.4162507,2.3122354
east,-4.4409223,1.0283332
rock,-4.605949,-1.0776087
mineralization,-4.691149,-1.148946
river,-4.2806945,2.1837099
group,-4.285553,-0.2744897
columbia,-4.0212965,1.9208905
geological,-4.4021845,0.97965443
soil,-3.9747763,0.27044928
figure,-4.3003416,0.44975924
volcanic,-4.42515,-1.618506
approximately,-3.986508,1.577371
porphyry,-4.3286805,-0.5574305
limited,-3.7498116,2.4414809
vancouver,-3.6978128,1.9777646
operator,-3.220083,2.3205886
vein,-4.093707,-0.037860394
surface,-3.9766436,-0.094756454
deposit,-4.5438733,0.14731644
pyrite,-3.9073067,-2.0310144
zinc,-3.901861,0.49371493
project,-3.700808,2.166901
formation,-4.221793,-1.0628939
near,-4.2363806,0.44778657
mountain,-4.0393686,1.5917236
production,-3.760889,1.6655872
year,-3.6636946,1.7343462
company,-3.804558,2.052819
lead,-3.7505555,0.39464793
geochemical,-3.7744846,0.47496003
program,-3.7294164,1.5023916
road,-3.350748,2.1628242
northwest,-4.0881987,0.83691406
pit,-3.8255706,1.2492423
molybdenum,-3.7049131,0.7674877
ore,-3.7643094,-0.19328147
covering,-2.4985113,1.5616591
ministry,-3.2663875,2.3224862
chalcopyrite,-3.8305392,-1.9329776
drill,-3.9344468,0.5878678
canada,-3.2529757,2.6672416
line,-3.5855656,0.9112234
million,-3.191507,1.3658602
long,-3.486333,1.2094169
underlain,-3.6317253,-0.09931565
metal,-3.8481727,0.44735587
occur,-3.8634372,-1.7766533
street,-2.924326,1.7255028
development,-3.6307235,1.5531757
div,-2.6375809,1.4014494
high,-4.105686,-0.68591785
class,-2.8596506,0.6923475
northeast,-3.8442664,0.83466095
new,-3.5107749,2.059247
diamond,-3.6489322,1.1774669
energy,-3.1189165,2.2578793
limestone,-3.8749475,-1.0891963
corp,-2.8765953,2.4824502
author,-2.664393,1.2776167
unit,-3.5232017,-1.4091644
lower,-3.8483667,-0.8053238
lot,-0.53813195,2.8719273
page,-1.4450448,2.6362624
underground,-3.4788308,1.3840235
pet,-2.4568944,2.2462387
massive,-3.8971372,-1.5299287
grade,-3.8427384,-0.5966024
data,-3.3854222,0.23029155
owner,-2.9513514,2.4590673
sedimentary,-3.863369,-1.5394826
fault,-3.6220126,-0.9729765
minor,-3.714798,-2.036187
open,-3.6070094,0.94300187
map,-3.4779055,0.5417993
geology,-3.2299383,1.2742941
small,-3.9561694,-1.0207494
resource,-3.3199368,1.2911855
upper,-3.7822323,-0.7022446
access,-3.0508833,2.3549078
sulphide,-3.7902422,-1.3899996
corporation,-3.0395908,2.4899614
hole,-3.3226836,0.34639862
main,-3.9045138,-0.39071423
valley,-3.6734385,1.198706
contact,-3.7966497,-1.2155987
table,-3.5136352,0.76868486
major,-3.8871968,0.2481475
total,-3.2823071,1.0429744
southwest,-3.720008,0.95620924
southeast,-3.5881863,1.2076883
region,-3.5399866,1.0815467
percent,-3.39509,-0.77698004
sample,-3.4441588,-0.054143384
associated,-3.8527522,-1.698254
elevation,-2.7062778,2.0022688
end,-3.417571,1.1907835
large,-3.7872396,-0.38812822
claim,-3.1809354,1.2853726
fig,-3.262618,0.29889676
age,-3.4586928,-1.1582685
island,-3.1911545,1.5053399
alteration,-3.6306386,-2.1900682
cut,-3.6091537,-1.137372
diorite,-3.566214,-1.6405363
section,-3.5639238,-0.06383306
early,-3.5420609,0.26039836
late,-3.5712895,-0.05003997
mount,-3.0942583,1.2341944
grading,-2.8297596,0.44135714
petroleum,-2.7760868,2.3722153
potential,-3.5494506,0.31657332
type,-3.5381365,-0.37113738
low,-3.6126094,-1.0061849
central,-3.4334984,0.45755416
related,-3.4653535,-0.5627774
intrusive,-3.635947,-1.7726698
found,-3.5127127,-1.0371729
regional,-3.4269466,0.59234226
plant,-2.85776,1.2722238
number,-3.4820695,0.16426688
galena,-3.2928562,-1.620978
reference,-2.8973467,1.4426335
cretaceous,-3.371202,-0.7848924
kamloops,-2.4521484,1.991849
site,-3.1269252,0.93945694
sphalerite,-3.1086001,-1.9846262
feldspar,-3.0819192,-2.3507624
operation,-2.7395346,1.4588087
sampling,-3.3042767,0.8684819
western,-3.1460516,1.0131965
iron,-3.1010773,-0.21190402
water,-2.7906613,0.13610539
grained,-3.2140741,-2.6652536
red,-2.7064738,0.58950233
continued,-3.1977773,1.558057
study,-3.3811939,0.695384
breccia,-3.0899074,-1.5362712
present,-3.4780984,-1.2499254
ridge,-2.954241,0.94874525
complex,-3.5062242,-0.95815986
known,-3.5030203,-0.22177972
significant,-3.4395123,-0.16285709
level,-3.0441985,0.27125967
bay,-2.7520576,1.3253943
fine,-3.2420595,-2.490698
quarry,-2.7161942,1.4197121
core,-2.9355621,-0.3784592
mill,-2.6237235,1.7184657
test,-3.0836253,0.60386014
silt,-2.8107915,-0.26057118
construction,-2.7526865,1.9036616
carbonate,-3.3337662,-1.9294717
inventory,-2.2193298,1.4002079
stock,-3.1706762,-0.9782231
strike,-3.171796,-0.39547342
gravel,-2.568493,1.553555
material,-3.1131968,-0.54367054
bulk,-3.0905187,0.6862338
system,-3.1558244,-0.21191329
range,-3.262608,-0.4903323
similar,-3.4667678,-0.8973181
prospect,-2.8535595,1.0981214
granodiorite,-3.191474,-1.5529217
exposed,-3.4293792,-1.055697
al,-2.630048,0.80059886
depth,-3.1227515,-0.6589713
magnetite,-3.1490464,-1.6027243
monzonite,-3.1539044,-1.7604842
bearing,-3.2650647,-1.2030267
use,-2.5193746,0.4242622
batholith,-3.27732,-0.93868864
grey,-2.8277533,-1.9436718
ground,-2.9746437,0.21161094
shear,-3.204648,-1.1290356
wide,-3.36554,-1.0017829
include,-3.16499,-0.3480535
placer,-2.6852026,1.4233526
showing,-3.0076249,-0.06613159
thick,-3.265666,-1.436403
reclamation,-2.0288897,1.8429242
produced,-2.7743688,0.34467205
gem,-2.0190775,1.741193
time,-2.9087322,0.43939385
black,-2.651873,-0.7270744
sand,-2.7513528,0.6718326
district,-2.8462794,1.6299148
base,-3.2252412,-0.56163573
industrial,-2.600579,0.8157733
andesite,-2.9959705,-1.7800863
air,-2.0180085,0.1702835
contain,-3.2742558,-1.8193388
tertiary,-3.2042797,-1.1917163
maybe,-3.1276522,-1.2979956
molybdenite,-3.0347407,-1.754296
minister,-2.4040956,1.7504389
uranium,-2.4936495,0.1957553
mainly,-3.1601882,-1.0562121
nelson,-2.7014637,0.9567559
carried,-2.7136505,1.148293
sequence,-3.178301,-1.7227693
geophysical,-2.7119603,0.69231576
magnetometer,-2.4374733,0.6916494
northern,-2.840479,0.76337504
highway,-2.5883107,1.9198341
division,-2.7796109,1.4450511
biotite,-2.8185606,-2.1437097
fora,-3.092898,0.8132102
average,-2.976037,-0.359702
environmental,-2.4779024,1.7967393
locally,-3.1972017,-2.3989413
mo,-2.2752235,0.9229129
belt,-2.8858666,-0.1519145
ann,-1.960844,1.9341903
basalt,-2.9437475,-1.4654479
generally,-3.3855228,-1.9501417
granite,-2.954297,-0.60139126
inch,-2.4589133,-0.47049215
phase,-3.008849,-0.40439385
box,-1.9732435,2.1685045
adjacent,-3.041666,-0.290793
branch,-2.5190196,1.560539
following,-2.769009,0.46260214
st,-2.2289,2.066524
golden,-2.1891506,2.148695
basin,-2.8993745,0.24747677
length,-2.8865047,-0.32964957
southern,-3.0513542,0.41802642
old,-2.8185353,1.0274162
shale,-2.8154554,-0.98980594
coast,-3.0313485,0.54273605
field,-2.7377582,0.50648224
fort,-2.028376,2.015657
included,-2.894439,0.85462666
shown,-3.17239,0.027045682
information,-2.5435023,0.7741273
middle,-3.0544279,-0.73960245
paper,-1.9627099,1.3327355
land,-2.2147083,1.4365854
camp,-2.721177,1.6364515
coarse,-2.9197643,-2.1177077
flow,-2.8106263,-1.1335598
mile,-2.1095104,1.8679066
argillite,-2.8295748,-1.7618964
based,-2.9876394,0.20023704
target,-2.75993,0.5806284
hill,-2.657337,1.0028667
tuff,-2.608353,-1.6730084
nickel,-2.4566996,0.7407805
pyrrhotite,-2.9153965,-2.081522
activity,-2.6954007,0.6061997
general,-2.9179325,0.24220876
dipping,-2.9012632,-1.3500257
rich,-2.71346,-1.5857089
analysis,-2.6360183,0.035348594
white,-2.5394726,-0.44243163
day,-2.1376736,1.7116175
additional,-2.6741054,0.74368787
anomalous,-2.938068,-1.2235388
control,-2.5362067,0.64384997
gas,-2.152641,0.11714445
previous,-2.8731909,0.58677757
fraction,-1.6610639,1.8789487
en,-2.2609286,0.84376633
green,-2.4665604,-1.1409658
es,-2.3438556,0.4747379
province,-2.715029,1.4076037
scale,-2.7344573,0.24866584
thin,-2.6601248,-2.0094895
sediment,-2.7232466,-0.3153507
er,-2.0751672,0.6371209
possible,-2.7221255,-0.32980812
process,-2.2482605,0.6000078
available,-2.408955,0.538063
bedrock,-2.8109827,-0.27479017
barite,-2.4591966,-0.32943994
higher,-2.956793,-0.95209503
local,-2.7807934,-1.0962203
trend,-2.895401,-0.105111435
min,-2.0148861,1.1043085
operating,-2.3134975,1.8526373
extensive,-2.9307685,-0.36095402
mafic,-2.5466511,-2.0056129
form,-2.7917492,-0.82513595
anomaly,-2.6614957,-0.28148985
rhyolite,-2.4775248,-1.8043902
pacific,-2.4553452,1.4493396
increase,-2.8368227,0.19342846
eagle,-2.3544497,0.8928874
structure,-2.707852,-0.7086417
economic,-2.8094935,0.19145003
sericite,-2.684892,-2.4130552
truck,-1.4197052,0.9462951
induced,-2.1990643,0.24575119
hastings,-2.2171116,1.544758
content,-2.7768185,-1.3456464
stage,-2.289833,0.10269398
intrusion,-2.8872154,-1.2653675
cover,-2.5052798,0.07861817
magnetic,-2.4889922,-0.66612226
stream,-2.500853,0.14341897
dip,-2.827819,-1.0388105
oil,-2.1428456,1.1528566
half,-2.6434197,0.7102437
body,-2.6679153,-1.001297
grid,-2.0783153,0.57285655
foot,-2.317616,0.56326354
structural,-3.0180902,-0.47761604
thickness,-2.777039,-0.865001
host,-2.9793336,-1.4351525
taken,-2.374699,0.34106576
quartzite,-2.706122,-1.3668821
metallurgical,-2.4527118,0.8478302
sandstone,-2.5594306,-1.6558771
current,-2.7974842,0.7429675
stone,-2.3277082,0.29292208
annual,-2.336604,1.4868942
boundary,-2.5089495,0.49818993
ex,-1.4439008,1.6295823
chlorite,-2.5906394,-2.4465156
conglomerate,-2.638196,-1.7011204
polarization,-2.2063012,0.4444447
immediately,-2.486318,0.5123258
fracture,-2.7484503,-1.8424239
tailings,-2.074827,0.85804135
medium,-2.5567055,-1.8430254
