Word,LatentDim_1,LatentDim_2
gold,-0.71210015,0.053557277
mines,0.24957865,-1.1143655
creek,1.7502123,-0.6445754
work,2.1639798,1.4578846
copper,2.5759342,-2.049365
exploration,-1.347911,-0.50276226
area,0.4364593,0.06079352
mining,0.21939433,-1.6796918
property,2.0259404,-1.8873141
coal,-0.6945523,-1.8490746
quartz,-3.120162,3.7623744
north,1.4410388,0.049284935
lake,-0.75300324,-0.45464236
report,-0.21561527,-0.53582054
west,-0.13532752,-2.7106862
drilling,2.32696,-1.9505684
silver,1.0491629,-1.5429251
zone,-0.152206,-0.86944085
assessment,0.78994733,0.50140977
lat,1.2216337,-2.7786882
description,-3.322559,3.9238997
survey,1.176716,-0.65850097
south,0.45155776,-0.0625
mineral,-0.37993836,-2.58524
location,2.2041187,-3.0023227
east,0.53735834,-0.6076524
rock,-3.4126756,0.32457468
mineralization,-0.2980578,-0.0021009743
river,2.1931367,-1.2812492
group,-1.8664106,2.5606217
columbia,-0.25788724,-1.3629562
geological,0.8435019,0.546435
soil,0.79059684,-0.76685315
figure,0.2985252,-1.8064514
volcanic,-3.3547432,4.4742765
approximately,1.6194091,0.3313172
porphyry,-0.28158164,-0.6093707
limited,-0.45507944,-1.4281858
vancouver,1.3132677,-1.8730261
operator,0.09767103,-1.1570363
vein,-0.18087971,-1.3236442
surface,0.5066537,-0.72504056
deposit,0.45365205,-1.9633781
pyrite,-6.1933107,3.6770668
zinc,-0.5293077,0.7018416
project,-0.57722974,-1.6557393
formation,-3.867118,3.9583054
near,-1.3933144,-1.3334453
mountain,-1.5157759,-1.5237865
production,1.4464797,-0.6735884
year,0.48042414,-0.9514024
company,-0.051624715,-0.9199611
lead,0.06424409,3.1603792
geochemical,0.4539647,-1.2185569
program,1.7642114,-1.3226264
road,-0.16884547,-0.8517091
northwest,-0.875101,-1.5244188
pit,1.2854079,-1.8841139
molybdenum,-0.6161281,-2.7225015
ore,-0.25909185,-1.4843372
covering,2.48831,-3.871974
ministry,0.08167535,-1.3927269
chalcopyrite,-2.6526256,3.309499
drill,0.7911375,-0.60188514
canada,0.6891798,-0.51409864
line,0.09744668,-0.78710896
million,1.0285976,-1.4312716
long,0.09474647,2.4319472
underlain,-4.6911173,3.4921687
metal,0.18491024,-1.8593272
occur,-5.633006,2.9455147
street,2.1000776,-1.8049277
development,0.17485005,-2.386304
div,1.5829026,0.03457856
high,-0.90841985,-1.3122175
class,-3.551764,3.1110013
northeast,0.04693693,-1.8711699
new,0.85194945,-0.5419628
diamond,0.039079964,-1.5055445
energy,-0.42228687,-1.7691345
limestone,-3.746358,4.0288267
corp,2.0032787,-2.8465805
author,-2.9956844,3.0284514
unit,-3.7511418,5.588667
lower,2.3784432,-0.33072078
lot,3.3844404,-2.8814688
page,2.841358,-2.63639
underground,0.86585146,-0.39487815
pet,3.4259543,-2.7280138
massive,-3.0263028,4.8033557
