Word,Dim1,Dim2
gold,29.317108,-4.6206985
mines,-7.578801,7.1815715
creek,6.279577,57.479565
work,28.3238,-2.563523
copper,27.627247,-3.5918093
exploration,14.415034,-13.9727745
area,26.833397,0.80938435
mining,14.455067,20.607948
property,24.58543,7.205713
coal,18.576988,-5.758658
quartz,30.841724,10.28802
north,10.558132,51.36837
lake,6.5680475,54.900753
report,7.70601,28.607325
west,8.964104,49.49168
drilling,27.67609,-5.775174
silver,28.034271,-2.8173604
zone,26.770565,1.9919316
assessment,8.083798,42.24902
lat,-7.418322,77.75586
description,28.511349,7.1475377
survey,25.940514,-1.315318
south,8.314247,47.39443
mineral,25.671307,-3.1836746
location,-1.9056578,64.00144
east,7.993379,46.188328
rock,24.816227,4.402376
mineralization,29.592514,4.336654
river,6.964632,58.58846
group,27.819466,6.3071775
columbia,-4.528556,-17.573227
geological,26.398972,-1.0192832
soil,24.61877,-0.0029534698
figure,20.538284,-2.7998102
volcanic,28.82013,7.1940427
approximately,9.694032,16.25569
porphyry,30.12827,5.282294
limited,7.4386997,41.591343
vancouver,10.496822,35.18287
operator,7.6817336,39.590202
vein,25.465912,2.0693598
surface,20.07753,-0.87510574
deposit,23.842335,-1.0785754
pyrite,26.270233,8.0913
zinc,25.589184,-0.23044446
project,16.883312,-8.077412
formation,24.121346,5.235541
near,12.505557,22.47101
mountain,8.117538,45.68381
production,20.072285,-8.142972
year,18.981667,-7.3777747
company,21.752663,-8.365805
lead,24.652054,0.4362061
geochemical,24.693356,0.61421573
program,21.66159,-6.744563
road,7.0247946,30.816454
northwest,8.088671,38.528736
pit,19.22979,-6.8942227
molybdenum,21.683746,-4.307387
ore,19.06017,-4.834807
covering,1.3600979,35.925713
ministry,-20.566513,-15.342088
chalcopyrite,26.098446,7.732798
drill,22.015736,-3.5257022
canada,-29.86649,7.71149
line,16.42089,0.6281478
million,17.36642,-6.80979
long,8.088509,26.070995
underlain,26.30716,8.209984
metal,20.423481,-2.9958568
occur,25.3891,6.7430315
street,7.4208813,37.76106
development,14.37596,-8.67795
div,5.320256,44.507298
high,17.993416,-0.61418486
class,10.314808,25.42304
northeast,7.8731594,37.602627
new,19.425026,-7.346809
diamond,22.639545,-3.8196645
energy,-18.84264,-12.456043
limestone,24.325264,9.264283
corp,6.8568845,26.478975
author,13.522819,17.544538
unit,19.443718,4.3107424
lower,18.653423,2.1069787
lot,-16.742863,60.953793
page,-17.974209,53.93838
underground,18.813889,-6.9902678
pet,-26.407406,26.317526
massive,27.085346,7.7211595
grade,20.093777,-2.0336947
data,14.961941,-0.63875055
owner,3.4757466,54.453945
sedimentary,25.705341,6.2341275
fault,19.47271,3.6963835
minor,25.454575,8.316385
open,18.156387,-5.1292024
map,19.232037,1.9317979
geology,16.925327,-0.8589021
small,21.262531,2.6407871
resource,18.594875,-6.719201
upper,21.561329,4.303263
access,5.563273,28.618856
sulphide,22.042717,3.096239
corporation,7.2892604,27.250826
hole,20.609673,-1.8593804
main,18.902344,0.7760744
valley,6.5672364,30.477167
contact,22.77935,4.8444734
table,17.427502,-3.3987026
major,18.537682,-2.0048823
total,16.489262,-4.839436
southwest,7.409192,41.068325
southeast,5.936552,42.705578
region,18.252392,-3.7670183
percent,15.080256,0.018096715
sample,15.478535,-2.7086105
associated,23.65049,5.1046634
elevation,-3.570372,55.094086
end,15.39273,-3.9487166
large,18.226086,-0.34873477
claim,15.292832,16.808477
fig,5.826713,26.45012
age,20.5574,4.3060365
island,7.4884033,35.1466
alteration,20.95253,5.1264853
cut,22.753017,4.8342595
diorite,24.54647,7.5324655
section,16.457253,1.6131579
early,19.889103,-1.6920396
late,20.528011,0.30803925
mount,5.102026,34.136784
grading,16.435005,-4.527645
petroleum,-22.622593,-11.483711
potential,19.111794,-0.8858733
type,17.701122,0.2080014
low,14.005768,-0.41214976
central,19.53033,0.9129213
related,20.702744,3.8179398
intrusive,24.277565,6.2028584
found,17.859932,2.4701343
regional,18.43557,0.6448461
plant,14.181465,-5.432921
number,17.689644,-1.949792
galena,23.700275,7.358765
reference,15.473791,-4.011048
cretaceous,22.395344,4.5929036
kamloops,1.8731952,47.792534
site,13.049983,-4.595035
sphalerite,23.2845,7.688089
feldspar,22.418743,8.519619
operation,14.054089,-6.2634997
sampling,18.244587,-2.7035773
western,7.6283174,26.469114
iron,17.39508,1.7705712
water,9.9854355,-1.3108996
grained,22.171043,8.902964
red,4.990556,27.590204
continued,17.083294,-6.940989
study,15.588775,-2.8695345
breccia,20.88498,6.537665
present,17.660904,2.751288
ridge,5.34628,29.586489
complex,20.920437,4.251807
known,20.433277,1.1398165
significant,17.96236,-0.477187
level,12.538953,-2.679902
bay,5.865325,38.11083
fine,19.17849,7.9499097
quarry,4.1532683,32.90207
core,15.88412,1.0884964
mill,16.717438,-6.3147597
test,16.187426,-2.8802757
silt,17.76213,1.8278693
construction,13.939262,-6.237672
carbonate,19.766712,7.47321
inventory,-8.926885,-4.646325
stock,20.046131,4.617769
strike,20.024563,2.5650885
gravel,4.9838605,19.770718
material,12.197851,-1.6271471
bulk,16.402637,-5.415437
system,14.488063,-0.26066718
range,14.8053665,1.2036142
similar,16.589092,2.0345252
prospect,8.000635,21.704565
granodiorite,23.366169,7.3426337
exposed,18.686005,3.6796377
al,13.875707,-1.0358081
depth,15.184336,-0.29432783
magnetite,19.91621,6.2308784
monzonite,23.159267,7.1653395
bearing,20.435734,5.087393
use,3.6294205,-6.4453397
batholith,21.575779,4.8828406
grey,20.978054,9.483322
ground,13.610725,-0.65595627
shear,20.69801,4.2957172
wide,20.851578,4.062487
include,17.803791,2.520176
placer,14.184483,-4.462147
showing,16.755451,1.4158269
thick,18.654839,4.6995416
reclamation,-5.9478207,-12.340334
produced,13.180381,-3.9727292
gem,-21.89214,31.659307
time,12.206531,-2.86309
black,15.347449,8.058395
sand,9.2177,10.696783
district,2.8034754,-11.624684
base,15.657311,1.1754447
industrial,12.132316,-4.1462
andesite,23.573982,8.29597
air,6.3308854,-1.296621
contain,18.91071,4.7636714
tertiary,20.7952,4.6089053
maybe,13.775836,1.5031027
molybdenite,20.451431,5.8207207
minister,-11.57891,-12.438643
uranium,11.673263,-0.5949249
mainly,19.070824,5.6559224
nelson,9.5763035,26.537657
carried,14.779784,-4.4577794
sequence,20.485992,6.257714
geophysical,18.98077,0.520363
magnetometer,16.253544,0.34229636
northern,7.632339,21.27328
highway,-0.21189833,51.88966
division,10.085997,-7.0947475
biotite,19.817245,7.6632113
fora,14.826047,-4.680837
average,12.200698,-1.2025956
environmental,-0.50213146,-12.776734
locally,21.071915,7.2489686
mo,4.771015,20.370157
belt,16.251171,2.3589563
ann,-15.525919,24.793192
basalt,19.624977,6.4765487
generally,16.873196,3.8905177
granite,17.313137,6.712829
inch,12.216121,-0.22387382
phase,16.502228,2.198733
box,-20.719643,23.939901
adjacent,17.378975,2.594798
branch,-7.0924225,-12.32909
following,7.762735,-5.116341
st,-2.2140136,32.667934
golden,-3.8480196,49.521015
basin,12.632663,0.48223108
length,16.395195,0.06412503
southern,9.381441,17.824732
old,14.462754,3.0352108
shale,15.269566,6.8164897
coast,11.988802,16.931879
field,10.837248,-2.9555993
fort,2.168244,39.230137
included,15.14832,-4.044753
shown,14.7596035,-0.2309973
information,-8.309239,-12.10545
middle,17.62162,3.8956695
paper,-14.75821,-7.237846
land,-3.898078,-10.33225
camp,7.6246657,13.821259
coarse,17.936062,7.3425155
flow,16.676159,2.3542345
mile,-0.41091347,43.956993
argillite,19.962906,7.806113
based,12.684353,-0.6625774
target,15.403086,-0.7144786
hill,1.8362608,43.293606
tuff,19.497528,7.7756276
nickel,13.529548,-2.3693633
pyrrhotite,21.491425,7.293834
activity,11.9955635,-4.0410314
general,13.255648,0.107391536
dipping,18.706669,5.0800576
rich,15.041631,4.9405026
analysis,11.877771,-0.784039
white,14.189668,8.0085535
day,13.71559,-4.998361
additional,14.152178,-4.04067
anomalous,17.438068,2.1231074
control,10.860233,-2.2267427
gas,8.34349,-0.73057485
previous,14.260416,-2.5400593
fraction,-10.74458,42.688328
en,10.148201,9.05579
green,18.347809,8.559393
es,11.73012,4.2135744
province,5.4751053,-10.9682255
scale,15.014732,-0.12429193
thin,16.51582,6.939908
sediment,12.783798,-0.10031161
er,7.633045,7.4190316
possible,11.177705,0.04600203
process,4.3238907,-6.5902553
available,4.8305016,-6.9948015
bedrock,14.7532,0.7453803
barite,14.244627,2.9574647
higher,11.746228,-0.34722772
local,15.258315,3.1572032
trend,16.309189,1.6899112
min,5.5852985,15.389919
operating,12.754674,-5.381704
extensive,17.527958,1.498628
mafic,18.356869,6.2881417
form,14.00814,2.7093387
anomaly,16.147068,0.90191805
rhyolite,18.940617,6.2499976
pacific,5.558651,28.318563
increase,12.950435,-4.0187182
eagle,6.0930877,26.636545
structure,14.091125,2.5028358
economic,13.387412,-1.9987499
sericite,16.945824,6.8647056
truck,8.320584,-2.6464214
induced,15.340886,0.70396316
hastings,5.8442774,29.88542
content,10.206234,-0.2755629
stage,1.0778861,-7.590362
intrusion,16.95478,3.6783667
cover,13.004186,-0.07856718
magnetic,14.154979,0.63638973
stream,11.955182,-0.5369884
dip,14.450994,2.442381
oil,4.2053943,-4.980745
half,12.276248,-2.0246158
body,13.827085,2.84902
grid,11.154222,-0.69380283
foot,11.2468,-2.019448
structural,15.6941595,2.1158566
thickness,13.435779,1.0952055
host,18.290081,4.5175786
taken,10.617623,-1.1875474
quartzite,17.024124,7.299695
metallurgical,13.068242,-4.28012
sandstone,15.936504,7.2062387
current,10.107363,-5.6548567
stone,6.023541,14.985969
annual,-1.7819524,-12.771761
boundary,6.6923995,20.64578
ex,-16.981403,24.087706
chlorite,17.110828,7.05735
conglomerate,16.593624,6.6100163
polarization,15.276425,0.36957997
immediately,4.663875,19.299578
fracture,17.624794,5.067679
tailings,10.292517,-4.297054
medium,13.826448,6.150759
act,-7.2961392,-11.815279
cent,9.167102,0.047677726
slope,2.2077365,20.203306
discovered,17.324509,-2.340072
waste,9.001913,-3.0480266
tested,13.725535,-0.54910004
industry,-7.4195375,-11.666948
schist,17.739834,7.3488975
discovery,16.361813,-2.8476086
international,-20.572033,16.968021
little,6.683941,8.17579
block,12.064464,0.7199081
common,14.789891,5.200238
porphyritic,20.638096,7.5726085
ti,11.432259,-0.62692547
detailed,12.83542,-1.454825
clay,13.010584,4.977855
king,-12.645514,32.486275
eastern,10.050561,12.113175
em,12.395709,-1.2254828
hornblende,17.953568,6.861507
interest,12.738595,-1.8211707
crown,-1.6551249,34.840675
source,13.532695,0.96409106
numerous,19.540974,4.788619
teck,4.4435506,23.159601
summary,-0.56668615,-9.0484085
preliminary,10.000722,-3.2621455
indicate,12.874382,0.46097827
cache,6.104639,12.245613
port,2.740089,39.289234
extension,4.95997,18.665592
dolomite,13.228587,6.7709203
greenwood,-0.7022743,45.493465
mi,-16.031925,25.702524
past,11.509421,-4.4271736
value,9.698255,-1.9153115
best,13.810942,1.223988
feasibility,11.493842,-5.9268155
collected,11.79613,-0.9151275
electromagnetic,15.76097,0.29797545
silica,7.518446,7.437465
equipment,7.562726,-3.4146125
till,9.774058,0.2093222
point,2.886462,15.442902
returned,12.058867,-1.226465
ion,11.321208,-1.3863965
granitic,17.49162,4.9137034
second,12.096921,-2.594596
relatively,12.359434,2.3342042
size,10.975937,0.028281122
tungsten,15.817208,-1.4232976
addition,11.99628,-2.933911
fieldwork,-14.851271,-9.8587475
geochemistry,13.476209,0.001742512
