city,lat,lng,country,admin_name,similarity
manado,1.4931,124.8413,Indonesia,Sulawesi Utara,0.35536481678465326
laramie,41.3099,-105.6085,United States,Wyoming,0.3119370109789681
cincinnati,39.1413,-84.506,United States,Ohio,0.2912547711201072
pasco,46.2506,-119.1305,United States,Washington,0.2815856539117939
sherwood,45.3594,-122.8427,United States,Oregon,0.2734965993454319
sherwood,34.8507,-92.2029,United States,Arkansas,0.2734965993454319
wyoming,39.2297,-84.4816,United States,Ohio,0.2670586382755884
wyoming,42.8908,-85.7066,United States,Michigan,0.2670586382755884
alliance,40.9107,-81.1189,United States,Ohio,0.2666756434640699
formosa,-26.1833,-58.1833,Argentina,Formosa,0.26578372007379525
formosa,-15.5369,-47.3339,Brazil,Goiás,0.26578372007379525
alba,44.7,8.0333,Italy,Piedmont,0.2604284610398423
harrow,51.5836,-0.3464,United Kingdom,Harrow,0.2556423603818119
magnolia,33.2775,-93.2261,United States,Arkansas,0.25341688103673077
mentor,41.6893,-81.3362,United States,Ohio,0.25302822231115596
appleton,44.278,-88.3892,United States,Wisconsin,0.25033877980813013
appleton,53.3508,-2.5441,United Kingdom,Warrington,0.25033877980813013
guelph,43.55,-80.25,Canada,Ontario,0.24924512228546913
pittsburgh,40.4397,-79.9763,United States,Pennsylvania,0.24685888653065446
wald,47.2753,8.9144,Switzerland,Zürich,0.24311875803435157
aurora,44.0,-79.4667,Canada,Ontario,0.24240642870206952
aurora,13.35,122.5167,Philippines,Quezon,0.24240642870206952
aurora,41.3118,-81.345,United States,Ohio,0.24240642870206952
aurora,7.9484,123.5819,Philippines,Zamboanga del Sur,0.24240642870206952
aurora,39.7083,-104.7237,United States,Colorado,0.24240642870206952
aurora,-6.9428,-38.9678,Brazil,Ceará,0.24240642870206952
aurora,41.7638,-88.2902,United States,Illinois,0.24240642870206952
aurora,42.7382,-78.6373,United States,New York,0.24240642870206952
aurora,16.9918,121.6357,Philippines,Isabela,0.24240642870206952
hampton,51.422,-0.367,United Kingdom,Richmond upon Thames,0.2421022711133176
hampton,40.5844,-79.9534,United States,Pennsylvania,0.2421022711133176
hampton,42.9391,-70.837,United States,New Hampshire,0.2421022711133176
hampton,37.0551,-76.363,United States,Virginia,0.2421022711133176
apt,43.8761,5.3964,France,Provence-Alpes-Côte d’Azur,0.2364892819785267
jenks,35.9981,-95.9736,United States,Oklahoma,0.2342981218152741
carthage,37.1503,-94.3225,United States,Missouri,0.2319343649846778
carthage,36.8528,10.3233,Tunisia,Tunis,0.2319343649846778
arar,30.9833,41.0167,Saudi Arabia,Al Ḩudūd ash Shamālīyah,0.23107930595064863
buckeye,33.4314,-112.6429,United States,Arizona,0.22700837658512263
